corpus,char,type,n_test,S_x1,CG_peak,k_peak
shakespeare,'Z',lexical,37,11.9136,5.8913,4
shakespeare,'z',lexical,36,9.972,4.4913,4
shakespeare,'x',lexical,49,9.1009,3.8612,3
shakespeare,'q',lexical,46,9.1171,2.8799,7
shakespeare,'j',lexical,40,8.8467,2.7945,7
shakespeare,'v',lexical,695,5.7067,2.5356,3
shakespeare,'V',lexical,52,8.6319,2.5075,7
shakespeare,'!',structural,258,8.2246,2.4812,6
shakespeare,'k',lexical,694,6.0448,2.3624,3
shakespeare,'?',structural,290,8.0271,2.1831,6
shakespeare,'K',lexical,167,8.101,1.9371,7
shakespeare,"""'""",structural,626,7.1486,1.88,4
shakespeare,';',structural,397,7.4954,1.8098,5
shakespeare,'P',lexical,441,7.2065,1.6315,3
shakespeare,'.',structural,925,6.3355,1.3474,4
shakespeare,'p',lexical,988,5.6518,1.3257,3
shakespeare,'g',lexical,1264,4.8126,1.3144,3
shakespeare,'y',lexical,2048,4.843,1.3134,3
shakespeare,'f',lexical,1465,5.0463,1.3013,3
shakespeare,'d',lexical,2896,3.8652,1.2661,3
shakespeare,"','",structural,2140,4.9574,1.1828,3
shakespeare,'c',lexical,1481,5.2851,1.1524,3
shakespeare,'B',lexical,343,6.385,1.1301,3
shakespeare,'u',lexical,2529,3.8769,1.106,3
shakespeare,'S',lexical,475,6.8296,1.0607,3
shakespeare,'l',lexical,3100,4.1155,1.0002,3
shakespeare,'o',lexical,6277,3.4438,0.9332,2
shakespeare,'m',lexical,2275,4.53,0.9188,3
shakespeare,'G',lexical,210,6.2218,0.8754,2
shakespeare,'r',lexical,4618,3.502,0.8295,3
shakespeare,':',structural,1272,4.651,0.8201,2
shakespeare,'t',lexical,6625,3.3107,0.717,3
shakespeare,'w',lexical,1829,4.5558,0.7092,3
shakespeare,'D',lexical,148,5.8791,0.636,2
shakespeare,'Y',lexical,70,5.8581,0.6315,2
shakespeare,'W',lexical,318,4.2038,0.6115,2
shakespeare,'b',lexical,1085,5.0439,0.5817,3
shakespeare,'s',lexical,4876,3.8148,0.5789,3
shakespeare,'h',lexical,4920,2.4609,0.5228,2
shakespeare,'a',lexical,5789,3.8273,0.4913,3
shakespeare,'i',lexical,4553,4.0625,0.4597,3
shakespeare,'n',lexical,4712,3.2017,0.4177,3
shakespeare,'T',lexical,1044,4.4347,0.3689,2
shakespeare,'e',lexical,9115,2.5371,0.2961,3
shakespeare,'F',lexical,106,5.325,0.1333,2
shakespeare,'R',lexical,634,5.6453,0.0494,3
shakespeare,'M',lexical,225,5.7505,0.0481,3
shakespeare,'A',lexical,1171,4.8934,-0.0954,2
shakespeare,'H',lexical,417,4.429,-0.1203,2
shakespeare,'I',lexical,1491,4.8474,-0.1909,3
shakespeare,'L',lexical,279,5.5092,-0.4664,7
shakespeare,'E',lexical,474,4.4399,-0.5596,4
shakespeare,'U',lexical,256,5.2347,-0.6672,4
shakespeare,'C',lexical,340,3.9385,-1.0783,3
shakespeare,'O',lexical,920,4.6337,-1.175,5
shakespeare,'N',lexical,696,3.9908,-1.3194,2
pride_prej,'z',lexical,133,5.3732,4.3722,3
pride_prej,'C',lexical,70,7.4018,4.1342,5
pride_prej,'x',lexical,87,6.9625,3.9116,2
pride_prej,'!',structural,61,9.8516,3.5675,7
pride_prej,'k',lexical,308,6.8873,3.475,3
pride_prej,'?',structural,87,9.6091,3.1257,8
pride_prej,'D',lexical,69,7.7048,3.0619,4
pride_prej,'Y',lexical,67,7.4961,2.7169,2
pride_prej,'v',lexical,580,5.8162,2.6895,3
pride_prej,'T',lexical,97,6.6633,2.5868,2
pride_prej,'H',lexical,67,6.9475,2.5797,2
pride_prej,'j',lexical,47,7.8254,2.4706,3
pride_prej,'q',lexical,59,8.7135,2.4701,6
pride_prej,'N',lexical,32,8.4314,2.4481,4
pride_prej,'B',lexical,115,6.9267,2.4412,4
