corpus,excluded_character,beta3,se,ci_low,ci_high,p_value,n_obs,n_clusters,n_structural_clusters,beta3_canonical,delta_beta3
shakespeare,'!',0.45165,0.2564,-0.06241,0.9657,0.08382,266,55,6,0.54868,-0.09703
shakespeare,"""'""",0.55276,0.28047,-0.00955,1.11508,0.05388,266,55,6,0.54868,0.00408
shakespeare,"','",0.7251,0.21014,0.3038,1.1464,0.00109,266,55,6,0.54868,0.17642
shakespeare,'.',0.62436,0.27182,0.0794,1.16932,0.02552,266,55,6,0.54868,0.07568
shakespeare,':',0.49694,0.25458,-0.01346,1.00734,0.05613,270,55,6,0.54868,-0.05174
shakespeare,';',0.52757,0.28046,-0.03472,1.08986,0.06536,266,55,6,0.54868,-0.02111
shakespeare,'?',0.46468,0.26375,-0.06411,0.99346,0.08376,266,55,6,0.54868,-0.084
pride_prej,'!',0.91327,0.33303,0.24164,1.58489,0.00886,303,44,4,1.13084,-0.21757
pride_prej,"','",1.3176,0.35686,0.59791,2.03728,0.00062,303,44,4,1.13084,0.18676
pride_prej,'.',1.34321,0.33778,0.66202,2.0244,0.00026,303,44,4,1.13084,0.21238
pride_prej,';',1.12397,0.41519,0.28665,1.96129,0.0097,303,44,4,1.13084,-0.00686
pride_prej,'?',0.95672,0.36474,0.22115,1.69228,0.01201,303,44,4,1.13084,-0.17412
python_stdlib,'%',0.06175,0.26965,-0.47543,0.59892,0.8195,451,76,19,-0.02431,0.08605
python_stdlib,'&',-0.11373,0.2768,-0.66515,0.4377,0.68235,449,76,19,-0.02431,-0.08942
python_stdlib,'(',-0.03076,0.29121,-0.61087,0.54936,0.91617,449,76,19,-0.02431,-0.00645
python_stdlib,')',0.0341,0.28492,-0.53349,0.60169,0.90506,449,76,19,-0.02431,0.0584
python_stdlib,'*',-0.05724,0.28905,-0.63307,0.51858,0.84355,449,76,19,-0.02431,-0.03294
python_stdlib,'+',-0.01901,0.28415,-0.58505,0.54704,0.94685,451,76,19,-0.02431,0.0053
python_stdlib,"','",0.00532,0.28512,-0.56266,0.5733,0.98517,450,76,19,-0.02431,0.02962
python_stdlib,'-',-0.01279,0.28206,-0.57469,0.54911,0.96395,452,76,19,-0.02431,0.01152
python_stdlib,'.',-0.0171,0.29116,-0.59713,0.56293,0.95332,449,76,19,-0.02431,0.0072
python_stdlib,'/',-0.07078,0.27883,-0.62623,0.48467,0.8003,452,76,19,-0.02431,-0.04648
python_stdlib,':',0.01144,0.28893,-0.56415,0.58703,0.96852,449,76,19,-0.02431,0.03574
python_stdlib,'<',-0.02252,0.2841,-0.58848,0.54345,0.93704,451,76,19,-0.02431,0.00179
python_stdlib,'=',0.02436,0.28661,-0.54661,0.59532,0.9325,449,76,19,-0.02431,0.04866
python_stdlib,'>',0.06601,0.274,-0.47983,0.61185,0.81028,449,76,19,-0.02431,0.09032
python_stdlib,'@',-0.18359,0.23896,-0.65963,0.29244,0.44472,449,76,19,-0.02431,-0.15929
python_stdlib,'[',-0.04541,0.29029,-0.62369,0.53288,0.87612,449,76,19,-0.02431,-0.0211
python_stdlib,']',-0.01601,0.28373,-0.58123,0.5492,0.95514,451,76,19,-0.02431,0.00829
python_stdlib,'{',-0.0409,0.29043,-0.61947,0.53766,0.88838,449,76,19,-0.02431,-0.0166
python_stdlib,'|',-0.02693,0.28358,-0.59184,0.53798,0.9246,453,76,19,-0.02431,-0.00262
python_stdlib,'}',-0.02798,0.29038,-0.60644,0.55049,0.92351,449,76,19,-0.02431,-0.00367
