char,char_raw,type,S_x1,S_x1_lo,S_x1_hi,n_test,CG_peak,CG_lo,CG_hi,k_peak,sym_cov,LS
'd',d,lexical,7.3462,7.3188,7.3735,2030,-0.1224,-0.201,-0.0439,2,1.0,1.0167
't',t,lexical,6.1028,6.0855,6.12,4569,-0.1423,-0.1904,-0.0942,2,1.0,1.0233
'e',e,lexical,6.5098,6.4925,6.5271,6689,-0.2813,-0.3305,-0.2321,2,1.0,1.0432
'b',b,lexical,6.9052,6.8358,6.9745,820,-0.2822,-0.48,-0.0844,2,1.0,1.0409
'v',v,lexical,5.6652,5.6262,5.7043,580,-0.3358,-0.4943,-0.1772,2,1.0,1.0593
'n',n,lexical,6.0843,6.0553,6.1133,3655,-0.3525,-0.4213,-0.2836,2,1.0,1.0579
'E',E,lexical,5.3034,4.9724,5.6345,98,-0.3612,-1.0329,0.3105,2,0.898,1.0681
'c',c,lexical,5.7781,5.7365,5.8197,1212,-0.3724,-0.4802,-0.2646,2,1.0,1.0644
's',s,lexical,6.826,6.7955,6.8566,3124,-0.4582,-0.5412,-0.3751,2,1.0,1.0671
'z',z,lexical,5.3543,5.2769,5.4316,133,-0.5041,-0.6449,-0.3632,2,1.0,1.0941
'h',h,lexical,6.2647,6.2494,6.2801,3234,-0.5541,-0.6121,-0.4962,2,1.0,1.0885
'l',l,lexical,6.1866,6.1483,6.2248,2149,-0.5549,-0.6425,-0.4673,2,1.0,1.0897
'r',r,lexical,6.4623,6.4316,6.4929,3182,-0.5571,-0.6324,-0.4818,2,1.0,1.0862
'a',a,lexical,6.1724,6.1534,6.1915,4031,-0.5874,-0.6395,-0.5353,2,1.0,1.0952
'j',j,lexical,8.8028,8.5642,9.0413,47,-0.6068,-1.1709,-0.0428,2,1.0,1.0689
'f',f,lexical,6.6545,6.5936,6.7154,1162,-0.6402,-0.7932,-0.4872,2,0.999,1.0962
'm',m,lexical,7.2862,7.231,7.3413,1376,-0.6455,-0.7998,-0.4913,2,1.0,1.0886
'y',y,lexical,6.6989,6.6639,6.7339,1435,-0.6724,-0.7752,-0.5695,2,1.0,1.1004
'u',u,lexical,6.3626,6.3111,6.4142,1683,-0.7052,-0.8409,-0.5695,2,1.0,1.1108
'M',M,lexical,7.1253,7.0363,7.2144,133,-0.7126,-1.0139,-0.4113,2,1.0,1.1
'D',D,lexical,6.0875,6.0331,6.1418,69,-0.7175,-1.0149,-0.4201,2,0.971,1.1179
'q',q,lexical,3.9535,3.8494,4.0576,59,-0.7189,-1.1496,-0.2883,2,1.0,1.1818
'k',k,lexical,8.8853,8.7876,8.9831,308,-0.7345,-0.9373,-0.5317,2,0.997,1.0827
'?',?,structural,9.7586,9.6358,9.8813,87,-0.7385,-0.9996,-0.4773,2,1.0,1.0757
'A',A,lexical,7.4531,7.309,7.5972,65,-0.7409,-1.0811,-0.4008,2,1.0,1.0994
'.',.,structural,8.3627,8.2227,8.5026,651,-0.755,-1.0613,-0.4487,2,0.997,1.0903
'i',i,lexical,6.3599,6.3169,6.4029,3488,-0.7577,-0.8594,-0.6559,2,0.999,1.1191
'g',g,lexical,6.3857,6.3589,6.4125,987,-0.8261,-0.909,-0.7431,2,1.0,1.1294
'p',p,lexical,6.4554,6.3719,6.539,819,-0.8372,-1.029,-0.6454,2,1.0,1.1297
'!',!,structural,9.3387,9.2116,9.4658,61,-0.858,-1.1902,-0.5258,2,1.0,1.0919
"','",",",structural,6.0344,5.9646,6.1042,943,-0.8649,-1.0128,-0.7169,2,0.997,1.1433
'o',o,lexical,6.2651,6.2468,6.2834,4267,-0.8756,-0.9268,-0.8243,2,1.0,1.1398
'C',C,lexical,8.6326,8.4397,8.8256,70,-0.8835,-1.3404,-0.4266,2,0.957,1.1023
'L',L,lexical,6.5517,6.5147,6.5887,121,-0.9045,-1.0738,-0.7352,2,0.992,1.1381
'H',H,lexical,5.6423,5.5663,5.7183,67,-0.9406,-1.1822,-0.6991,2,0.985,1.1667
'N',N,lexical,7.4097,7.1341,7.6854,32,-1.1213,-1.9617,-0.281,2,0.875,1.1513
'w',w,lexical,8.1727,8.1255,8.2199,1148,-1.1332,-1.2893,-0.9772,2,1.0,1.1387
'S',S,lexical,7.4736,7.2659,7.6813,43,-1.1549,-1.7486,-0.5613,2,0.907,1.1545
';',;,structural,9.8578,9.7619,9.9538,152,-1.2345,-1.4544,-1.0146,2,1.0,1.1252
'B',B,lexical,7.945,7.8778,8.0122,115,-1.3913,-1.6167,-1.166,2,1.0,1.1751
'Y',Y,lexical,4.4302,4.1228,4.7376,67,-1.5205,-2.368,-0.6731,2,1.0,1.3432
'T',T,lexical,7.2439,7.1837,7.304,97,-1.5847,-1.8793,-1.2901,2,0.928,1.2188
'W',W,lexical,8.1219,8.0101,8.2337,46,-1.6471,-2.2168,-1.0774,2,0.957,1.2028
'I',I,lexical,7.3266,7.2183,7.4348,381,-1.9395,-2.2378,-1.6411,2,0.99,1.2647
'x',x,lexical,6.0148,5.9405,6.0891,87,-2.7006,-3.0502,-2.3511,2,1.0,1.449
