char,char_raw,type,S_x1,S_x1_lo,S_x1_hi,n_test,CG_peak,CG_lo,CG_hi,k_peak,sym_cov,LS
'f',f,lexical,7.611,7.5881,7.634,7190,0.9138,0.8312,0.9964,5,0.905,0.8799
'@',@,structural,6.6963,6.6187,6.774,125,0.72,0.2818,1.1582,3,1.0,0.8925
's',s,lexical,6.9712,6.9545,6.9879,10766,0.1524,0.1077,0.1971,2,1.0,0.9781
'h',h,lexical,6.9118,6.8857,6.9378,1807,0.1421,0.0577,0.2266,2,1.0,0.9794
'c',c,lexical,6.3925,6.3691,6.416,4876,0.0918,0.0316,0.152,2,1.0,0.9856
'u',u,lexical,7.0054,6.9648,7.0459,3445,0.075,-0.0262,0.1761,2,0.999,0.9893
'm',m,lexical,7.0993,7.0782,7.1204,3328,0.0717,0.0085,0.1349,2,1.0,0.9899
'E',E,lexical,6.5236,6.4548,6.5924,635,0.054,-0.1748,0.2827,2,1.0,0.9917
'i',i,lexical,6.424,6.3991,6.4489,8330,0.0102,-0.0494,0.0698,2,0.997,0.9984
't',t,lexical,6.5028,6.4888,6.5167,9745,-0.0272,-0.0739,0.0194,2,1.0,1.0042
'.',.,structural,7.5772,7.562,7.5925,3706,-0.0299,-0.0728,0.0131,2,1.0,1.0039
'n',n,lexical,6.6361,6.6272,6.645,8277,-0.0347,-0.073,0.0036,2,1.0,1.0052
'v',v,lexical,6.2312,6.1845,6.278,875,-0.0389,-0.1734,0.0957,2,0.999,1.0062
'I',I,lexical,6.3155,6.1861,6.445,312,-0.0449,-0.3664,0.2766,2,1.0,1.0071
'6',6,lexical,9.1319,8.9511,9.3128,83,-0.1463,-0.5629,0.2703,2,1.0,1.016
'V',V,lexical,7.2847,7.1932,7.3763,130,-0.1519,-0.4578,0.1539,2,1.0,1.0209
'o',o,lexical,6.5802,6.5542,6.6062,7069,-0.1631,-0.2227,-0.1034,2,0.999,1.0248
':',:,structural,6.7836,6.7604,6.8069,2855,-0.1765,-0.2571,-0.0959,2,0.999,1.026
'B',B,lexical,7.6161,7.3474,7.8849,89,-0.1772,-0.79,0.4356,2,1.0,1.0233
'l',l,lexical,6.9888,6.9643,7.0132,7954,-0.1856,-0.2803,-0.0909,4,0.937,1.0266
'(',(,structural,7.5336,7.5223,7.5448,4336,-0.1934,-0.2328,-0.154,2,1.0,1.0257
